year,KOSPI,KOSDAQ
2013,2011.34,499.99
2014,1915.59,542.97
2015,1961.31,682.35
2016,2026.46,631.44
2017,2467.49,798.42
2018,2041.04,675.65
2019,2197.67,669.83
2020,2873.47,968.42
2021,2977.65,1033.98
2022,2236.4,679.29
