2001년,12.7,37.5,-29.2
2002년,12.6,37,-24.4
2003년,12.5,35.4,-24.6
2004년,13.2,38.5,-24.3
2005년,12.3,37.7,-23.2
2006년,12.9,38,-23.5
2007년,13.2,36.9,-20
2008년,12.9,37.7,-26.2
2009년,13,38.3,-20.5
2010년,12.7,37.1,-26.8
2011년,12.4,36.7,-24.3
2012년,12.3,38.7,-27.7
2013년,12.9,39.2,-26.8
2014년,13.1,37.9,-20.5
2015년,13.4,38.7,-19.8
2016년,13.6,39.6,-23
2017년,13.1,39.7,-21.1
2018년,13,41,-25.2
2019년,13.3,37.6,-20.1
2020년,13,37.8,-24
2021년,13.3,38.3,-24.3
2022년,12.9,37.9,-21.8
